timestamp,session,src_ip,dst_ip,message
2026-09-23T17:34:50.633512Z,55386906daf8,172.17.0.1,172.17.0.2,New connection: 172.17.0.1:42310 (172.17.0.2:2222) [session: 55386906daf8]
2026-09-23T17:34:50.634302Z,55386906daf8,172.17.0.1,172.17.0.2,Remote SSH version: SSH-2.0-OpenSSH_10.2p1 Ubuntu-2ubuntu3.5
2026-09-23T17:34:50.635978Z,55386906daf8,172.17.0.1,172.17.0.2,SSH client hassh fingerprint: eeca2460550b9ded084ecf2f70a75356
2026-09-23T17:35:37.889895Z,55386906daf8,172.17.0.1,172.17.0.2,login attempt [root/omesh] succeeded
2026-09-23T17:35:37.896271Z,55386906daf8,172.17.0.1,172.17.0.2,Terminal Size: 120 30
2026-09-23T17:35:37.896687Z,55386906daf8,172.17.0.1,172.17.0.2,request_env: LANG=C.UTF-8
2026-09-23T17:35:37.898462Z,55386906daf8,172.17.0.1,172.17.0.2,
2026-09-23T17:36:26.592027Z,55386906daf8,172.17.0.1,172.17.0.2,CMD: whoami
2026-09-23T17:36:33.737394Z,55386906daf8,172.17.0.1,172.17.0.2,CMD: ls
2026-09-23T17:36:42.669103Z,55386906daf8,172.17.0.1,172.17.0.2,CMD: cat/etc/passwd
2026-09-23T17:36:42.672594Z,55386906daf8,172.17.0.1,172.17.0.2,Command not found: cat/etc/passwd 
2026-09-23T17:36:48.360780Z,55386906daf8,172.17.0.1,172.17.0.2,CMD: exit
2026-09-23T17:36:48.370213Z,55386906daf8,172.17.0.1,172.17.0.2,Closing TTY Log: var/lib/cowrie/tty/6cfffeb662a7013ea8ff97cdb77350d0742ffd2c0626c166cfadab13af1d58ad after 70473 milliseconds
2026-09-23T17:36:48.372911Z,55386906daf8,172.17.0.1,172.17.0.2,Connection lost after 117739 milliseconds
